date,GDP Growth,CPI,Unemployment Rate,Retail sales,Net Export Growth,10-Year Government Bond Rate,Saving Rate of People,New Home Sales,FED Fund Rate,S&P 500,Gold,Brent,DXY,PMI - 50,IIP Growth (%)
1988-07-01,2.4,0.423728813559324,5.4,0.0,6.8863079198557955,9.06,8.6,-0.05445471304092426,7.75,-1,0.05725081738786074,5.566084710555382,2.218397182766566,1,0.015532647171845326
1988-08-01,5.4,0.4219409282700329,5.6,0.0,6.857835777351147,9.26,8.4,0.013167710374647488,8.01,-1,-2.0936511658392467,-7.26391836399716,0.9184675240948567,1,0.5004005165846648
1988-09-01,5.4,0.6722689075630279,5.4,0.0,6.857835777351147,8.98,8.8,0.02156805387732117,8.19,1,-7.284096055865794,-17.631225163011074,-0.7545666474118047,1,-0.3230471183578887
1988-10-01,5.4,0.333889816360602,5.4,0.0,6.877656831158104,8.8,8.6,0.0211126772375592,8.3,-1,3.629579992915996,4.003737305983734,-4.212359182769783,1,0.4411008755109913
1988-11-01,4.1,0.0831946755407767,5.3,0.0,6.857835777351147,8.96,8.4,-0.1339294025800255,8.35,-1,2.443235303915163,9.787574563573743,-3.4428116515158766,1,0.25361989185817
1988-12-01,4.1,0.166251039068995,5.3,0.0,6.857835777351147,9.11,8.3,0.046664764857118624,8.76,1,-2.965937521175605,9.950711897531779,2.2183065555058503,1,0.4540968383386135
1989-01-01,4.1,0.497925311203322,5.4,0.0,6.884567508548629,9.09,8.5,0.08865642639572958,9.12,1,-4.041582067226651,2.4818327594622938,4.459741564895224,1,0.2945869249222799
1989-02-01,3.1,0.41288191577208,5.2,0.0,6.857835777351147,9.17,8.9,-0.14492126498186728,9.36,-1,-1.7926216268152009,3.0333492480457096,-1.9201257767490443,1,-0.4441213041499137
1989-03-01,3.1,0.5756578947368549,5.0,0.0,6.857835777351147,9.36,9.4,-0.09258078901142738,9.85,1,-0.9867646933076359,17.722730227221152,3.4280786468697837,1,0.2572239205320459
1989-04-01,3.1,0.6541291905151291,5.2,0.0,6.897587764546322,9.18,8.3,0.06981557823841487,9.84,1,-1.4854035847270848,-5.027236525344322,-0.5103614221558768,1,-0.03529366261192379
1989-05-01,3.0,0.56864337936636,5.2,0.0,6.857835777351147,8.86,8.0,0.07598590697792205,9.81,-1,-4.261143728823978,-5.4067221270275825,5.174857345846055,1,-0.5510334698825892
1989-06-01,3.0,0.242326332794821,5.3,0.0,6.857835777351147,8.28,8.1,-0.021572485254127888,9.53,-1,3.0486846682620645,-0.7396904280884751,-0.751039862850242,1,-0.0022695182623322374
1989-07-01,3.0,0.241740531829182,5.2,0.0,6.9107198802061305,8.02,8.1,0.1298251560598173,9.24,1,-1.2680596192795912,-4.916144953505778,-4.649204321569634,1,-0.9663503859079214
1989-08-01,0.8,0.160771704180044,5.2,0.0,6.857835777351147,8.11,7.5,-0.04762804898925459,8.99,-1,-2.334950193458687,3.362156847284417,4.698144762031618,1,0.974142898300201
1989-09-01,0.8,0.321027287319424,5.3,0.0,6.857835777351147,8.19,7.9,-0.08688095638298912,9.02,-1,1.845019981027339,5.198910793760033,-3.769140071322355,1,-0.33282159109147
1989-10-01,0.8,0.480000000000002,5.3,0.0,6.903023099863347,8.01,8.4,0.009345862418237599,8.84,-1,2.3727184814269076,2.5551811440349863,-0.28492946924919593,1,-0.12687176517661714
1989-11-01,4.4,0.2388535031847039,5.4,0.0,6.857835777351147,7.87,8.5,0.05870760082677791,8.55,1,8.390904775638976,-0.7543139214463643,-1.8617148657891374,1,0.3366372753715652
1989-12-01,4.4,0.158856235107229,5.4,0.0,6.857835777351147,7.84,7.7,-0.08223809823697212,8.45,1,-1.7050079453139264,9.240513332394903,-3.335753654437064,1,0.5692433300166666
1990-01-01,4.4,1.03092783505156,5.4,0.0,6.897207849901297,8.21,7.9,-0.01600034134644119,8.23,-1,3.3814320456818954,-1.090739618919311,-0.6569405996633745,1,-0.5222825490487248
1990-02-01,1.5,0.470957613814759,5.3,0.0,6.857835777351147,8.47,8.5,-0.04790346063303902,8.24,1,-1.7867385075836906,-2.9339484319400384,0.9035234102119949,1,0.9084094802969789
1990-03-01,1.5,0.546874999999992,5.2,0.0,6.857835777351147,8.59,8.3,-0.02918662108653179,8.28,1,-10.109089819581643,-5.812518128684814,0.40607023099072986,1,0.47672565845220394
1990-04-01,1.5,0.155400155400176,5.4,0.0,6.916924116430054,8.79,8.7,-0.0573633948799202,8.26,-1,-0.20373521478444417,-7.10157462139448,-0.7385636997442838,1,-0.22483021718118223
1990-05-01,0.3,0.2327385570209169,5.4,0.0,6.857835777351147,8.76,8.7,-0.014870162479451393,8.18,1,-1.2862793655291092,-5.277003598006433,-0.16128168648429136,1,0.2954238177032886
1990-06-01,0.3,0.5417956656347079,5.2,0.0,6.857835777351147,8.48,8.6,0.020389955703049176,8.29,-1,-3.034136976415009,-0.6176671891729062,-1.9340020444575865,1,0.3399679860814686
1990-07-01,0.3,0.384911470361808,5.5,0.0,6.910841511662967,8.47,8.7,-0.00551979322359781,8.15,1,5.550078481656555,20.6399439014924,-4.430217020973813,1,-0.16638007008998867
1990-08-01,-3.6,0.92024539877301,5.7,0.0,6.857835777351147,8.75,8.1,-0.02616971773338472,8.13,-1,4.066082117797693,29.88343714852889,-0.7135488901099447,1,0.3622083695834277
1990-09-01,-3.6,0.83586626139817,5.9,0.0,6.857835777351147,8.89,8.1,-0.06252035698133393,8.2,1,5.1886284233862305,37.95879936493045,-0.776860536386933,1,0.021472743930361915
1990-10-01,-3.6,0.602863602110005,5.9,0.0,6.906702725241747,8.72,7.9,-0.06453852113757118,8.11,1,-7.339248945482581,-12.777524718193122,-3.121189640223721,1,-0.6147837522799904
1990-11-01,-1.9,0.224719101123606,6.2,0.0,6.857835777351147,8.39,8.0,0.05847176845533387,7.81,1,1.3999051144641874,-16.417851053515285,-0.39708854294927315,1,-1.2477339021045752
1990-12-01,-1.9,0.2609913057466027,6.3,0.0,6.857835777351147,8.08,8.8,-0.060624621816434854,7.31,-1,-0.5340988401527292,-3.2367537568737026,0.21678919727368945,1,-0.6951026856240161
1991-01-01,-1.9,0.5979073243647061,6.4,0.0,6.938191366199574,8.09,9.4,-0.1459231249196861,6.91,1,-4.487932617743295,-34.30733891717096,-1.3566099526718902,1,-0.3333414914706623
1991-02-01,3.2,0.1485884101040319,6.6,0.0,6.857835777351147,7.85,9.0,0.1839826867440311,6.25,1,-0.9057287112509569,-7.127434973309282,2.493053788295228,1,-0.7293211665209687
1991-03-01,3.2,0.1483679525222559,6.8,0.0,6.857835777351147,8.11,8.1,0.050566889540582895,6.12,-1,-1.962894510933252,-2.7681550392616616,9.024748164706443,1,-0.5630067926918003
1991-04-01,3.2,0.148148148148129,6.7,0.0,6.961159543703169,8.04,8.7,0.0019704439872987385,5.91,-1,0.5887317257036158,6.653158045509892,-0.5121231568773781,1,0.25722544790562907
1991-05-01,2.0,0.295857988165682,6.9,0.0,6.857835777351147,8.07,8.5,0.017561426929947208,5.78,1,0.738010729762246,-1.0872486082713575,1.7435061822101348,1,1.0029378486213991
1991-06-01,2.0,0.294985250737484,6.9,0.0,6.857835777351147,8.28,9.0,-0.0019361090268664404,5.9,-1,2.181904739463989,-2.583850573101942,3.0449545602283794,1,0.8069284147877331
1991-07-01,2.0,0.147058823529393,6.8,0.0,6.963161603253642,8.27,8.4,-0.009737175277858317,5.82,1,-1.5044047404676595,5.305456295588956,-2.6806163946657158,1,0.27407987470633444
1991-08-01,1.4,0.293685756240824,6.9,0.0,6.857835777351147,7.9,8.7,0.02893162253400548,5.66,-1,-4.351267191714153,4.748666626598787,0.0,1,0.01425791597875481
1991-09-01,1.4,0.439238653001466,6.9,0.0,6.857835777351147,7.65,8.9,-0.0770370896551201,5.45,-1,2.1359205845446225,1.6766859857067107,-3.9156537225649544,1,0.8229532682422658
1991-10-01,1.4,0.145772594752206,7.0,0.0,6.961287515068092,7.53,9.4,0.07322756123845234,5.21,1,0.7159432560409994,4.867704839531665,0.0444839864986634,1,-0.10460032553035736
